Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,151.79232,-91.074772,90.0,bottom
C2,0.1uF,C_0603_1608Metric,150.19232,-85.775088,-90.0,bottom
C3,1uF,C_0603_1608Metric,151.79232,-85.775088,-90.0,bottom
C4,1uF,C_0603_1608Metric,157.49232,-91.074772,-90.0,bottom
C5,4.7uF,C_0603_1608Metric,150.19232,-91.074772,90.0,bottom
C6,1uF,C_0603_1608Metric,153.39232,-91.074772,-90.0,bottom
C7,1uF,C_0603_1608Metric,153.39232,-85.774772,-90.0,bottom
C8,1uF,C_0603_1608Metric,154.99232,-85.774772,-90.0,bottom
C9,1uF,C_0603_1608Metric,155.89232,-91.074772,-90.0,bottom
C10,1uF,C_0603_1608Metric,157.49232,-85.824772,-90.0,bottom
C11,1uF,C_0603_1608Metric,160.21232,-85.824772,90.0,bottom
C12,1uF,C_0603_1608Metric,160.21232,-91.024772,-90.0,bottom
C13,1uF,C_0603_1608Metric,161.86232,-85.824772,90.0,bottom
C14,2.2uF,C_0603_1608Metric,162.71232,-90.999772,-90.0,bottom
C15,1uF,C_0603_1608Metric,163.51232,-85.824772,-90.0,bottom
C16,2.2uF,C_0603_1608Metric,165.21232,-85.824772,-90.0,bottom
C17,1uF,C_0603_1608Metric,165.21232,-90.974772,-90.0,bottom
D1,SS0530_R1_00001,D_SOD-123,157.6842,-80.3402,180.0,bottom
J1,FH12-30S-0.5SH(55),JUSHUO AFC24-S30FIC-00,157.75,-98.7,180.0,bottom
J2,01x08 2.54mm Pin Headers ,PinHeader_1x08_P2.54mm_Vertical,157.75,-70.3,-90.0,bottom
